df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity,address
miami university-oxford,,OH,miami university-oxford,,OH,100,Address not found
middle georgia state university,,GA,middle georgia state university,,GA,100,Address not found
misericordia university,,PA,misericordia university,,PA,100,Address not found
missouri university of science and technology,,MO,missouri university of science and technology,,MO,100,Address not found
molloy college,,NY,molloy college,,NY,100,Address not found
monmouth university,,NJ,monmouth university,,NJ,100,Address not found
new jersey institute of technology,,NJ,new jersey institute of technology,,NJ,100,Address not found
new york university,,NY,new york university,,NY,100,Address not found
north carolina a & t state university,,NC,north carolina a & t state university,,NC,100,Address not found
north carolina central university,,NC,north carolina central university,,NC,100,Address not found
north carolina state university at raleigh,,NC,north carolina state university at raleigh,,NC,100,Address not found
north carolina wesleyan university,,NC,north carolina wesleyan university,,NC,100,Address not found
northwestern university,,IL,northwestern university,,IL,100,Address not found
nova southeastern university,,FL,nova southeastern university,,FL,100,Address not found
oakland university,,MI,oakland university,,MI,100,Address not found
ohio state university-main campus,,OH,ohio state university-main campus,,OH,100,Address not found
oral roberts university,,OK,oral roberts university,,OK,100,Address not found
pennsylvania state university-main campus,,PA,pennsylvania state university-main campus,,PA,100,Address not found
pennsylvania state university-penn state abington,,PA,pennsylvania state university-penn state abington,,PA,100,Address not found
pennsylvania state university-penn state altoona,,PA,pennsylvania state university-penn state altoona,,PA,100,Address not found
pennsylvania state university-penn state beaver,,PA,pennsylvania state university-penn state beaver,,PA,100,Address not found
pennsylvania state university-penn state berks,,PA,pennsylvania state university-penn state berks,,PA,100,Address not found
pennsylvania state university-penn state brandywine,,PA,pennsylvania state university-penn state brandywine,,PA,100,Address not found
pennsylvania state university-penn state dubois,,PA,pennsylvania state university-penn state dubois,,PA,100,Address not found
pennsylvania state university-penn state erie-behrend college,,PA,pennsylvania state university-penn state erie-behrend college,,PA,100,Address not found
pennsylvania state university-penn state fayette- eberly,,PA,pennsylvania state university-penn state fayette- eberly,,PA,100,Address not found
pennsylvania state university-penn state greater allegheny,,PA,pennsylvania state university-penn state greater allegheny,,PA,100,Address not found
pennsylvania state university-penn state harrisburg,,PA,pennsylvania state university-penn state harrisburg,,PA,100,Address not found
pennsylvania state university-penn state hazleton,,PA,pennsylvania state university-penn state hazleton,,PA,100,Address not found
pennsylvania state university-penn state lehigh valley,,PA,pennsylvania state university-penn state lehigh valley,,PA,100,Address not found
pennsylvania state university-penn state mont alto,,PA,pennsylvania state university-penn state mont alto,,PA,100,Address not found
pennsylvania state university-penn state new kensington,,PA,pennsylvania state university-penn state new kensington,,PA,100,Address not found
pennsylvania state university-penn state schuylkill,,PA,pennsylvania state university-penn state schuylkill,,PA,100,Address not found
pennsylvania state university-penn state scranton,,PA,pennsylvania state university-penn state scranton,,PA,100,Address not found
pennsylvania state university-penn state shenango,,PA,pennsylvania state university-penn state shenango,,PA,100,Address not found
pennsylvania state university-penn state wilkes-barre,,PA,pennsylvania state university-penn state wilkes-barre,,PA,100,Address not found
pennsylvania state university-penn state york,,PA,pennsylvania state university-penn state york,,PA,100,Address not found
pitzer college,,CA,pitzer college,,CA,100,Address not found
princeton university,,NJ,princeton university,,NJ,100,Address not found
reed college,,OR,reed college,,OR,100,Address not found
rensselaer polytechnic institute,,NY,rensselaer polytechnic institute,,NY,100,Address not found
rogers state university,,OK,rogers state university,,OK,100,Address not found
rose-hulman institute of technology,,IN,rose-hulman institute of technology,,IN,100,Address not found
rutgers university-camden,,NJ,rutgers university-camden,,NJ,100,Address not found
rutgers university-new brunswick,,NJ,rutgers university-new brunswick,,NJ,100,Address not found
saint norbert college,,WI,saint norbert college,,WI,100,Address not found
santa clara university,,CA,santa clara university,,CA,100,Address not found
savannah state university,,GA,savannah state university,,GA,100,Address not found
savannah state university,,GA,savannah state university,,GA,100,Address not found
south georgia state college,,GA,south georgia state college,,GA,100,Address not found
spelman college,,GA,spelman college,,GA,100,Address not found
stanford university,,CA,stanford university,,CA,100,Address not found
stephens college,,MO,stephens college,,MO,100,Address not found
stonehill college,,MA,stonehill college,,MA,100,Address not found
suny at albany,,NY,suny at albany,,NY,100,Address not found
suny college of agriculture and technology at cobleskill,,NY,suny college of agriculture and technology at cobleskill,,NY,100,Address not found
suny college of technology at canton,,NY,suny college of technology at canton,,NY,100,Address not found
suny maritime college,,NY,suny maritime college,,NY,100,Address not found
swarthmore college,,PA,swarthmore college,,PA,100,Address not found
syracuse university,,NY,syracuse university,,NY,100,Address not found
texas christian university,,TX,texas christian university,,TX,100,Address not found
texas southern university,,TX,texas southern university,,TX,100,Address not found
texas tech university,,TX,texas tech university,,TX,100,Address not found
the cooper union for the advancement of science and art,,NY,the cooper union for the advancement of science and art,,NY,100,Address not found
the university of alabama,,AL,the university of alabama,,AL,100,Address not found
the university of texas rio grande valley,,TX,the university of texas rio grande valley,,TX,100,Address not found
truett mcconnell university,,GA,truett mcconnell university,,GA,100,Address not found
tulane university of louisiana,,LA,tulane university of louisiana,,LA,100,Address not found
university of alabama at birmingham,,AL,university of alabama at birmingham,,AL,100,Address not found
university of alabama in huntsville,,AL,university of alabama in huntsville,,AL,100,Address not found
university of alaska fairbanks,,AK,university of alaska fairbanks,,AK,100,Address not found
university of arkansas,,AR,university of arkansas,,AR,100,Address not found
university of cincinnati-main campus,,OH,university of cincinnati-main campus,,OH,100,Address not found
university of delaware,,DE,university of delaware,,DE,100,Address not found
university of houston-clear lake,,TX,university of houston-clear lake,,TX,100,Address not found
university of houston-downtown,,TX,university of houston-downtown,,TX,100,Address not found
university of houston-victoria,,TX,university of houston-victoria,,TX,100,Address not found
university of idaho,,ID,university of idaho,,ID,100,Address not found
university of maryland-college park,,MD,university of maryland-college park,,MD,100,Address not found
university of miami,,FL,university of miami,,FL,100,Address not found
university of minnesota-morris,,MN,university of minnesota-morris,,MN,100,Address not found
university of minnesota-rochester,,MN,university of minnesota-rochester,,MN,100,Address not found
university of minnesota-twin cities,,MN,university of minnesota-twin cities,,MN,100,Address not found
university of mississippi,,MS,university of mississippi,,MS,100,Address not found
university of missouri-columbia,,MO,university of missouri-columbia,,MO,100,Address not found
university of missouri-st louis,,MO,university of missouri-st louis,,MO,100,Address not found
university of north carolina at asheville,,NC,university of north carolina at asheville,,NC,100,Address not found
university of north carolina at chapel hill,,NC,university of north carolina at chapel hill,,NC,100,Address not found
university of north carolina at charlotte,,NC,university of north carolina at charlotte,,NC,100,Address not found
university of north carolina at greensboro,,NC,university of north carolina at greensboro,,NC,100,Address not found
university of north carolina at pembroke,,NC,university of north carolina at pembroke,,NC,100,Address not found
university of north carolina school of the arts,,NC,university of north carolina school of the arts,,NC,100,Address not found
university of north carolina wilmington,,NC,university of north carolina wilmington,,NC,100,Address not found
university of north georgia,,GA,university of north georgia,,GA,100,Address not found
university of notre dame,,IN,university of notre dame,,IN,100,Address not found
university of oklahoma-norman campus,,OK,university of oklahoma-norman campus,,OK,100,Address not found
university of pennsylvania,,PA,university of pennsylvania,,PA,100,Address not found
university of pittsburgh-bradford,,PA,university of pittsburgh-bradford,,PA,100,Address not found
university of pittsburgh-greensburg,,PA,university of pittsburgh-greensburg,,PA,100,Address not found
university of pittsburgh-johnstown,,PA,university of pittsburgh-johnstown,,PA,100,Address not found
university of pittsburgh-pittsburgh campus,,PA,university of pittsburgh-pittsburgh campus,,PA,100,Address not found
university of portland,,OR,university of portland,,OR,100,Address not found
university of rhode island,,RI,university of rhode island,,RI,100,Address not found
university of richmond,,VA,university of richmond,,VA,100,Address not found
university of san diego,,CA,university of san diego,,CA,100,Address not found
university of south carolina-columbia,,SC,university of south carolina-columbia,,SC,100,Address not found
university of southern california,,CA,university of southern california,,CA,100,Address not found
university of virginia-main campus,,VA,university of virginia-main campus,,VA,100,Address not found
university of west georgia,,GA,university of west georgia,,GA,100,Address not found
university of wyoming,,WY,university of wyoming,,WY,100,Address not found
valdosta state university,,GA,valdosta state university,,GA,100,Address not found
valparaiso university,,IN,valparaiso university,,IN,100,Address not found
virginia military institute,,VA,virginia military institute,,VA,100,Address not found
virginia polytechnic institute and state university,,VA,virginia polytechnic institute and state university,,VA,100,Address not found
washington and lee university,,VA,washington and lee university,,VA,100,Address not found
wellesley college,,MA,wellesley college,,MA,100,Address not found
western carolina university,,NC,western carolina university,,NC,100,Address not found
williams college,,MA,williams college,,MA,100,Address not found
brigham young university,,UT,brigham young university,,UT,100,Address not found
college of staten island cuny,,NY,college of staten island cuny,,NY,100,Address not found
cuny bernard m baruch college,,NY,cuny bernard m baruch college,,NY,100,Address not found
cuny brooklyn college,,NY,cuny brooklyn college,,NY,100,Address not found
cuny city college,,NY,cuny city college,,NY,100,Address not found
cuny graduate school and university center,,NY,cuny graduate school and university center,,NY,100,Address not found
cuny hunter college,,NY,cuny hunter college,,NY,100,Address not found
cuny john jay college of criminal justice,,NY,cuny john jay college of criminal justice,,NY,100,Address not found
cuny lehman college,,NY,cuny lehman college,,NY,100,Address not found
cuny medgar evers college,,NY,cuny medgar evers college,,NY,100,Address not found
cuny new york city college of technology,,NY,cuny new york city college of technology,,NY,100,Address not found
cuny queens college,,NY,cuny queens college,,NY,100,Address not found
cuny york college,,NY,cuny york college,,NY,100,Address not found
franklin w olin college of engineering,,MA,franklin w olin college of engineering,,MA,100,Address not found
grinnell college,,IA,grinnell college,,IA,100,Address not found
johns hopkins university,,MD,johns hopkins university,,MD,100,Address not found
middlebury college,,VT,middlebury college,,VT,100,Address not found
northeastern university,,MA,northeastern university,,MA,100,Address not found
oberlin college,,OH,oberlin college,,OH,100,Address not found
seton hall university,,NJ,seton hall university,,NJ,100,Address not found
stevens institute of technology,,NJ,stevens institute of technology,,NJ,100,Address not found
the college of new jersey,,NJ,the college of new jersey,,NJ,100,Address not found
trinity university,,TX,trinity university,,TX,100,Address not found
tufts university,,MA,tufts university,,MA,100,Address not found
university of central arkansas,,AR,university of central arkansas,,AR,100,Address not found
university of connecticut,,CT,university of connecticut,,CT,100,Address not found
university of connecticut-avery point,,CT,university of connecticut-avery point,,CT,100,Address not found
university of connecticut-hartford campus,,CT,university of connecticut-hartford campus,,CT,100,Address not found
university of connecticut-stamford,,CT,university of connecticut-stamford,,CT,100,Address not found
university of connecticut-waterbury campus,,CT,university of connecticut-waterbury campus,,CT,100,Address not found
university of michigan-dearborn,,MI,university of michigan-dearborn,,MI,100,Address not found
university of vermont,,VT,university of vermont,,VT,100,Address not found
university of wisconsin - madison,,WI,university of wisconsin-madison,,WI,100,Address not found
university of wisconsin-eau claire,,WI,university of wisconsin-eau claire,,WI,100,Address not found
university of wisconsin-green bay,,WI,university of wisconsin-green bay,,WI,100,Address not found
university of wisconsin-la crosse,,WI,university of wisconsin-la crosse,,WI,100,Address not found
university of wisconsin-milwaukee,,WI,university of wisconsin-milwaukee,,WI,100,Address not found
university of wisconsin-oshkosh,,WI,university of wisconsin-oshkosh,,WI,100,Address not found
university of wisconsin-parkside,,WI,university of wisconsin-parkside,,WI,100,Address not found
university of wisconsin-river falls,,WI,university of wisconsin-river falls,,WI,100,Address not found
university of wisconsin-stevens point,,WI,university of wisconsin-stevens point,,WI,100,Address not found
university of wisconsin-stout,,WI,university of wisconsin-stout,,WI,100,Address not found
university of wisconsin-superior,,WI,university of wisconsin-superior,,WI,100,Address not found
university of wisconsin-whitewater,,WI,university of wisconsin-whitewater,,WI,100,Address not found
villanova university,,PA,villanova university,,PA,100,Address not found
colgate university,,NY,colgate university,,NY,100,Address not found
vanderbilt university,,TN,vanderbilt university,,TN,100,Address not found
adelphi university,,NY,adelphi university,,NY,100,Address not found
university of kentucky,,KY,university of kentucky,,KY,100,Address not found
lafayette college,,PA,lafayette college,,PA,100,Address not found
worcester polytechnic institute,,MA,worcester polytechnic institute,,MA,100,Address not found
