df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity
devry university-georgia,,GA,devry university-georgia,,GA,100
devry university-illinois,,IL,devry university-illinois,,IL,100
devry university-nevada,,NV,devry university-nevada,,NV,100
devry university-new jersey,,NJ,devry university-new jersey,,NJ,100
devry university-ohio,,OH,devry university-ohio,,OH,100
devry university-pennsylvania,,PA,university of pennsylvania,,PA,87
devry university-tennessee,,TN,tennessee state university,,TN,85
devry university-texas,,TX,devry university-texas,,TX,100
devry university-virginia,,VA,devry university-virginia,,VA,100
dewey university-carolina,,PR,dewey university-carolina,,PR,100
dewey university-hato rey,,PR,dewey university-hato rey,,PR,100
dewey university-juana díaz,,PR,dewey university-juana diaz,,PR,83
dewey university-manati,,PR,dewey university-manati,,PR,100
dickinson college,,PA,dickinson college,,PA,100
dickinson state university,,ND,dickinson state university,,ND,100
digipen institute of technology,,WA,digipen institute of technology,,WA,100
dillard university,,LA,dillard university,,LA,100
dine college,,AZ,dine college,,AZ,100
doane university,,NE,doane university,,NE,100
dominican university,,IL,dominican university,,IL,100
dominican university new york,,NY,dominican university new york,,NY,100
dominican university of california,,CA,dominican university of california,,CA,100
donnelly college,,KS,donnelly college,,KS,100
dordt university,,IA,dordt university,,IA,100
drake university,,IA,drake university,,IA,100
drew university,,NJ,drew university,,NJ,100
drury university,,MO,drury university,,MO,100
drury university-college of continuing professional studies,,MO,drury university-college of continuing professional studies,,MO,100
dunwoody college of technology,,MN,dunwoody college of technology,,MN,100
duquesne university,,PA,duquesne university,,PA,100
eagle gate college-boise campus,,ID,eagle gate college-boise campus,,ID,100
eagle gate college-layton,,UT,eagle gate college-layton,,UT,100
eagle gate college-murray,,UT,eagle gate college-murray,,UT,100
earlham college,,IN,earlham college,,IN,100
east central university,,OK,east central university,,OK,100
east stroudsburg university of pennsylvania,,PA,east stroudsburg university of pennsylvania,,PA,100
east tennessee state university,,TN,east tennessee state university,,TN,100
east texas baptist university,,TX,east texas baptist university,,TX,100
east-west university,,IL,east-west university,,IL,100
eastern connecticut state university,,CT,eastern connecticut state university,,CT,100
eastern florida state college,,FL,eastern florida state college,,FL,100
eastern illinois university,,IL,eastern illinois university,,IL,100
eastern international college-belleville,,NJ,eastern international college-jersey city,,NJ,77
eastern international college-jersey city,,NJ,eastern international college-jersey city,,NJ,100
eastern kentucky university,,KY,eastern kentucky university,,KY,100
eastern mennonite university,,VA,eastern mennonite university,,VA,100
eastern oregon university,,OR,eastern oregon university,,OR,100
eastern university,,PA,eastern university,,PA,100
eastern washington university,,WA,eastern washington university,,WA,100
eastwick college-ramsey,,NJ,eastwick college-ramsey,,NJ,100
eckerd college,,FL,eckerd college,,FL,100
ecpi university,,VA,ecpi university,,VA,100
edgewood college,,WI,edgewood college,,WI,100
edinboro university of pennsylvania,,PA,university of pennsylvania,,PA,85
edmonds college,,WA,edmonds college,,WA,100
elim bible institute and college,,NY,elim bible institute and college,,NY,100
elizabethtown college,,PA,elizabethtown college,,PA,100
elmhurst university,,IL,elmhurst university,,IL,100
elmira college,,NY,elmira college,,NY,100
elon university,,NC,elon university,,NC,100
embry-riddle aeronautical university-daytona beach,,FL,embry-riddle aeronautical university-daytona beach,,FL,100
embry-riddle aeronautical university-prescott,,AZ,embry-riddle aeronautical university-prescott,,AZ,100
embry-riddle aeronautical university-worldwide,,FL,embry-riddle aeronautical university-worldwide,,FL,100
emerson college,,MA,emerson college,,MA,100
emory & henry college,,VA,emory & henry college,,VA,100
empire state university,,NY,empire state university,,NY,100
emporia state university,,KS,emporia state university,,KS,100
endicott college,,MA,endicott college,,MA,100
ensign college,,UT,ensign college,,UT,100
erskine college,,SC,erskine college,,SC,100
escuela de artes plasticas de puerto rico,,PR,escuela de artes plasticas y diseno de puerto rico,,PR,90
eureka college,,IL,eureka college,,IL,100
evangel university,,MO,evangel university,,MO,100
everglades university,,FL,everglades university,,FL,100
excelsior university,,NY,excelsior university,,NY,100
fairfax university of america,,VA,fairfax university of america,,VA,100
fairfield university,,CT,fairfield university,,CT,100
fairleigh dickinson university-florham campus,,NJ,fairleigh dickinson university-florham campus,,NJ,100
fairleigh dickinson university-metropolitan campus,,NJ,fairleigh dickinson university-metropolitan campus,,NJ,100
fairmont state university,,WV,fairmont state university,,WV,100
faith international university,,WA,faith international university,,WA,100
farmingdale state college,,NY,farmingdale state college,,NY,100
fashion institute of technology,,NY,fashion institute of technology,,NY,100
feather river community college district,,CA,feather river community college district,,CA,100
felbry college,,OH,felbry college,,OH,100
felician university,,NJ,felician university,,NJ,100
ferris state university,,MI,ferris state university,,MI,100
ferrum college,,VA,ferrum college,,VA,100
fidm-fashion institute of design & merchandising,,CA,fidm-fashion institute of design & merchandising,,CA,100
fidm-fashion institute of design & merchandising-san francisco,,CA,fidm-fashion institute of design & merchandising,,CA,87
fisher college,,MA,fisher college,,MA,100
fitchburg state university,,MA,fitchburg state university,,MA,100
five towns college,,NY,five towns college,,NY,100
flagler college,,FL,flagler college,,FL,100
florida gateway college,,FL,florida gateway college,,FL,100
florida memorial university,,FL,florida memorial university,,FL,100
florida national university-main campus,,FL,florida national university-main campus,,FL,100
florida southern college,,FL,florida southern college,,FL,100
florida southwestern state college,,FL,florida southwestern state college,,FL,100
florida state college at jacksonville,,FL,florida state college at jacksonville,,FL,100
foothill college,,CA,foothill college,,CA,100
fort hays state university,,KS,fort hays state university,,KS,100
fort lewis college,,CO,fort lewis college,,CO,100
framingham state university,,MA,framingham state university,,MA,100
francis marion university,,SC,francis marion university,,SC,100
franciscan missionaries of our lady university,,LA,franciscan missionaries of our lady university,,LA,100
franklin and marshall college,,PA,franklin and marshall college,,PA,100
franklin college,,IN,franklin college,,IN,100
franklin pierce university,,NH,franklin pierce university,,NH,100
franklin university,,OH,franklin university,,OH,100
freed-hardeman university,,TN,freed-hardeman university,,TN,100
